id;sentence;acceptable;error_type;detailed_sou;predict;coincide;;;;;CoLA;;;;;;;;
276;I have a new English book.;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
277;My major is pharmacy.;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
278;It is the longest wall in the world.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
279;It is impossible to live without water.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
280;I live in a dormitory.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
281;Before going to bed, I like to go for a walk. ;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
282;I have breakfast at seven o'clock.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
283;Late at night I either watch some videos or chat with my friends.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
284;He usually has very little free time.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
285;I like to listen to news while eating.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
286;Everyone day Mr. Green gets up at seven o'clock.;0;Semantics;kht722_1m;0;1;1;0;0;0;;;;;;;;;
287;You can call this number on weekdays.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
288;I gave that camera to a friend of mine two days ago.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
289;He will make a good doctor.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
290;The Moon is attracted by the Earth.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
291;What is it for?;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
292;Is that true?;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
293;We arrived at the airport two hours before departure.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
294;You seem to have plenty of time.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
295;There was a long queue.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
296;We checked the departure board to see if the flight would leave on time.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
297;The lecture has just begun.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
298;I think it will start raining in a few minutes.;1;0;kht722_1m;1;1;0;1;0;0;;;;;;;;;
299;She is an economist.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
300;My aunt's son is my cousin.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
301;Is your aunt a doctor?;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
302;Are you an engineer?;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
303;I have a terrible headache.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
304;Where were you yesterday? ;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
305;This city is in the North of Italy.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
306;My grandfather was born in 1926.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
307;His favorite subjects were Chemistry and Biology.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
308;We have lots in common.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
309;She is one year older than me.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
310;She cooks breakfast herself.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
311;Have you ever seen any of these pictures before?;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
312;Can I have some milk?;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
313;Do you have any questions?;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
314;We do not spend much time on cooking.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
315;Chimpanzees know when somebody else's thinking is wrong.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
316;Virtual visitors of the exhibition can navigate through different booths any time of the day.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
317;As you're known, I'm a first year student.;0;Syntax;kht222a_1w;1;0;0;0;1;0;;;;;;;;;
318;I joined to the meeting at half past ten.;0;Morphology;kht222a_1w;0;1;1;0;0;0;;;;;;;;;
319;That part of atmosphere which is higher than seven miles over the Earth is called stratosphere. ;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
320;Magnesium is a very light metal for which we find more and more applications.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
321;You can agree or disagree or particularly agree with what you've read. ;0;Semantics;kht222a_1w;1;0;0;0;1;0;;;;;;;;;
322;Metallic objects are attracted by a magnet.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
323;How many new words have you learned this month?;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
324;Only in the USA, there are 307 million of smartphone users.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
325;Social media is a good way of communicating with people.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
326;I'm a pretty reserved person.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
327;Even such a basic thing as scrolling social media can be very exhausting. ;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
328;I'd feel awful if anybody made fun of things that I post.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
329;She doesn't have maths lessons every day.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
330;It is great to hear that you are going to Japan for a holiday.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
331;Nothing is better than going to a place you've never been before. ;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
332;I wish I had an opportunity to accompany you.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
333;I think he is highly underrated.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
334;You are working pretty hard. ;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
335;You're not allowed to bring more than 100 ml of any liquid inside the plane because of security measures.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
336;If you have some free time you can go to a duty free shop to buy something for your friends.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
337;Sorry, I have left my notebook at home.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
338;That's why people switch to searching information on the phone.;1;0;kht222a_1w;1;1;0;1;0;0;;;;;;;;;
339;I am the youngest in the family.;1;0;kht222a_2w;1;1;0;1;0;0;;;;;;;;;
340;One of my brothers is married.;1;0;kht222a_2w;1;1;0;1;0;0;;;;;;;;;
341;His wife and he live in France.;1;0;kht222a_2w;1;1;0;1;0;0;;;;;;;;;
342;My father is a scientist.;1;0;kht222a_2w;1;1;0;1;0;0;;;;;;;;;
343;My mother comes from Poland.;1;0;kht222a_2w;1;1;0;1;0;0;;;;;;;;;
344;My parents are divorced.;1;0;kht222a_2w;1;1;0;1;0;0;;;;;;;;;
345;My dad works as a construction foreman.;1;0;kht222a_2w;1;1;0;1;0;0;;;;;;;;;
346;We usually meet on holidays.;1;0;kht222a_2w;1;1;0;1;0;0;;;;;;;;;
347;If you want to write something on the blackboard you must have a piece of chalk.;1;0;kht222a_2w;1;1;0;1;0;0;;;;;;;;;
348;This garden is not large, but it is very nice.;1;0;kht222a_2w;1;1;0;1;0;0;;;;;;;;;
349;Wait for us at the bus stop.;1;0;kht222a_4w;1;1;0;1;0;0;;;;;;;;;
350;He will be back in no time.;1;0;kht222a_4w;1;1;0;1;0;0;;;;;;;;;
351;I know this woman.;1;0;kht222a_4w;1;1;0;1;0;0;;;;;;;;;
352;We are going to spend our holiday in the country.;1;0;kht222a_4w;1;1;0;1;0;0;;;;;;;;;
353;If I see Helen I'll ask her to ring you up.;1;0;kht222a_4w;1;1;0;1;0;0;;;;;;;;;
354;I don't know the way to the railway station.;1;0;kht222a_4w;1;1;0;1;0;0;;;;;;;;;
355;On my way home I met Peter and told him about the trip.;1;0;kht222a_4w;1;1;0;1;0;0;;;;;;;;;
356;There were a lot of new words in the text.;1;0;kht222a_4w;1;1;0;1;0;0;;;;;;;;;
357;He arrives at work at 9 o'clock.;1;0;kht222a_4w;1;1;0;1;0;0;;;;;;;;;
358;Will they be at home tomorrow morning?;1;0;kht222a_4w;1;1;0;1;0;0;;;;;;;;;
359;I want to tell you about my son.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
360;He's a schoolboy.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
361;He goes to school.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
362;His eyes are blue. ;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
363;He is 12 years old.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
364;He is fond of reading.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
365;I love my son very much.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
366;I don't even know his brother.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
367;This is a very interesting article.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
368;This September I entered the university.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
369;My brother has learned some interesting facts from history of our town.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
370;We have a lot of relatives.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
371;They do not support each other.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
372;I have been waiting for you for a long time.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
373;The weather is fine.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
374;It's hard for me to talk about this.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
375;I haven't received any letter from him yet.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
376;I have already read 60 pages.;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
377;What are you going to do tonight?;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
378;Did you find your notebook?;1;0;kht222a_6m;1;1;0;1;0;0;;;;;;;;;
379;I like listening to German songs.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
380;I have always had plenty of hobbies.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
381;I was interested in sports, especially volleyball and badminton.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
382;In my opinion, sport is a great source of pleasure and health benefit. ;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
383;I spend a great time when I play sports.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
384;My deepest passion has always been dancing.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
385;I think it is the perfect hobby for my body and my soul.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
386;A bright and clear title is a mandatory feature of any poster.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
387;First of all, you must be creative.  ;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
388;Use no more than 3 different fonts.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
389;Start preparing as early as possible.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
390;Get rid of unnecessary details.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
391;I beg your pardon. ;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
392;It will take you about 15 minutes.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
393;Could you tell me how to get to the subway station?;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
394;Each of these cities has its own authenticity and charm.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
395;This city is known for its magnificent architecture, amazing streets, and a lively urban scene.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
396;Coffee is the most important tradition here all the visitors must respect.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
397;This is a popular tourist destination.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
398;He is not sleeping.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
399;I was reading a book when the telephone rang.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
400;Please, tell me about you and your hobby.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
401;I didn't go to the cinema yesterday. ;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
402;Sorry, but I have to go now. ;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
403;Type in the item you are looking for in the search box. ;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
404;Once you have clicked the search button, your results will be shown.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
405;These are just a few basic steps to find the information you might need. ;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
406;Photo search is very popular now.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
407;You can also use a QR code, which will easily take you to the appropriate site.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
408;This will help you avoid any bad surprises during your stay. ;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
409;This is my favorite hotel search engine. ;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
410;I would like to research the hotel reviews. ;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
411;Shall I confirm my reservation after arrival?;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
412;He is asking for a hotel business card.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
413;What is he asking for?;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
414;You'll always have the hotel's address, if there is its card in your wallet. ;1;0;kht222a_8w;0;0;0;0;0;1;;;;;;;;;
415;You should tell me the day and time of your departure well in advance.;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
416;Thank you very much for your offer. ;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
417;This novel was written by Charles Dickens. ;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
418;Who was this novel written by?;1;0;kht222a_8w;1;1;0;1;0;0;;;;;;;;;
419;Thank you for such a wonderful story. ;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
420;My hobby is game development. ;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
421;She is retired.;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
422;I grew up in a family of a lawyer.;1;0;kn222g18m;0;0;0;0;0;1;;;;;;;;;
423;I have been interested in technology since I was a child.;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
424;Experience is more important for me than the result.;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
425;Do you have anything liable to duty? ;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
426;It seems that you have enough time, but that is not always the case.;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
427;It is always better to arrive at the airport as early as possible.;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
428;In a few years, the situation with mobile web search will be much better than it is now.;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
429;Where do you stay during your trip?;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
430;This is the most convenient option. ;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
431;If you want to save up some money, you will have to choose a hotel on your own.;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
432;The prices may vary depending on the season.;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
433;You may arrive at the hotel whenever you want. ;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
434;The work had been done by Mr. Adams by Friday. ;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
435;Our mail is delivered by Mr. Butler.;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
436;Many internet users don't even have any computer at home, but they have one or more smartphones.;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
437;Mobile sites are compatible with small screens, so developers cut out some not very important functionality. ;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
438;He left home at a quarter past eight.;1;0;kn222g18m;1;1;0;1;0;0;;;;;;;;;
439;It seems to me that the title is not expected to be large. ;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
440;It is better to use such graphs and drawings that everybody can easily  understand without any text.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
441;That doesn't mean you don't have to write anything. ;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
442;I have nothing to do with it.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
443;Do you have anything to declare?;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
444;In accordance with the above, no less important is the design.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
445;You need to work more on it.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
446;How much do I have to pay?;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
447;I would like to share my experience with you.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
448;Is anything wrong with it?;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
449;Our providers offer the networks, which are more powerful than the previous ones.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
450;Now it's time to get to the heart of it, isn't it? ;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
451;There is also a swimming pool there.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
452;If you go there on business you will probably face a problem regarding your accommodation.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
453;May all your dreams come true. ;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
454;I am still looking for my wallet.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
455;Every day I wind up my watch at 10 o'clock in the evening.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
456;Her friend's story is more interesting than hers.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
457;I get up, turn on the music, and make the bed.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
458;My working day ends at midnight.;1;0;kn222g7m;1;1;0;1;0;0;;;;;;;;;
459;More and more people switch to the tablets with richer media features and functionalities.;1;0;kn222g13m;1;1;0;1;0;0;;;;;;;;;
460;According to recent studies, the most popular activities of tablets users include web search and social networking. ;1;0;kn222g13m;1;1;0;1;0;0;;;;;;;;;
461;Typing on smartphones or tablets is not as convenient as on a keyboard.;1;0;kn222g13m;1;1;0;1;0;0;;;;;;;;;
462;There were some early initiatives to evolutionize mobile search by using images instead of keywords.;1;0;kn222g13m;1;1;0;1;0;0;;;;;;;;;
463;Well, there is no need to hurry, now that we have missed the train.;1;0;kn222g13m;1;1;0;1;0;0;;;;;;;;;
464;Have you bought any cheese?;1;0;kn222g13m;1;1;0;1;0;0;;;;;;;;;
465;We did not see anyone in the hall.;1;0;kn222g13m;1;1;0;1;0;0;;;;;;;;;
466;I live near a big park, so I usually go running there.;1;0;kn222g13m;1;1;0;1;0;0;;;;;;;;;
467;I want to be a businessman, like my father.;1;0;kn222g13m;1;1;0;1;0;0;;;;;;;;;
468;My father is a businessman. ;1;0;kn222g13m;1;1;0;1;0;0;;;;;;;;;
469;She is a pleasant-looking woman of about 40.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
470;He is 10 years older than my mother. ;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
471;He is a handsome man with dark brown hair that is just starting to turn gray. ;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
472;What are you fonf of?;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
473;We are three in the family.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
474;He is explaining a new grammar rule to them.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
475;I need this book badly. ;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
476;You are to be here at 7 o'clock.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
477;Mary works hard at her English.;1;0;kn222a9m;0;0;0;0;0;1;;;;;;;;;
478;I see by your face that something has happened. ;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
479;If I were you, I would go there myself.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
480;Bicycles generate no air or noise pollution. ;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
481;Would you like some milk to your coffee?;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
482;I am out of money.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
483;I wake up at about 8 o'clock in the morning.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
484;Summing up, I can say that now my days are not very full of any interesting events.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
485;I am 18 years old, and I'm at university. ;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
486;Thanks to computer games, I learn English, travel about the world, and sometimes even fly across the universe.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
487;Absolutely all online games are a good means of socialization.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
488;Verbal abuse, of course, will lead to bad consequences.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
489;Present your talk in a clear and logical way and focus on the main idea.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
490;Is there a supermarket near here? ;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
491;Never mind.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
492;The key to a good trip is a proper preparation. ;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
493;Once at the airport, you should check in for the flight.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
494;If you have nothing to declare, you won't have to fill in a declaration form.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
495;Personal belongings, used items, and gifts are normally not liable to duty anywhere.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
496;You'd better find out some facts about it. ;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
497;When I came in they had already had dinner.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
498;I find it quite difficult to type on the phone because of its small keyboard.;1;0;kn222a9m;1;1;0;1;0;0;;;;;;;;;
499;In our study group, many students are supporters of a healthy lifestyle.;1;0;add;1;1;0;1;0;0;;;;;;;;;
500;I have been smoking since I was seventeen.;1;0;add;1;1;0;1;0;0;;;;;;;;;
